word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
গিল্,57,65,0.83316,0.0,1.41658
হ্যারি,2878,99,0.78262,0.0,1.39131
মহিষ,136,371,0.79736,0.0101,1.38858
রওশন,631,44,0.73637,0.0,1.36818
ঋক,34,204,0.72499,0.0,1.3625
আসাদ,87,186,0.71964,0.0,1.35982
অগ্নির,54,106,0.71913,0.0,1.35957
জনে,146,108,0.71345,0.0,1.35673
অভিলাষ,45,95,0.70012,0.0,1.35006
অলি,110,35,0.6964,0.0,1.3482
গরিমা,27,98,0.69517,0.0,1.34758
মেরি,303,423,0.71031,0.0101,1.34505
কামাল,354,302,0.68933,0.0,1.34466
বিনয়,3378,107,0.68747,0.0,1.34374
শাপলা,63,121,0.67978,0.0,1.33989
ওসমান,295,150,0.67967,0.0,1.33984
গাজা,24,150,0.67868,0.0,1.33934
ভ্যাট,32,142,0.67557,0.0,1.33779
সাফ,330,209,0.67538,0.0,1.33769
অগ্নি,215,360,0.69539,0.0101,1.33759
মেয়া,29,31,0.67476,0.0,1.33738
পাশা,81,176,0.67133,0.0,1.33567
আজহ,93,360,0.66773,0.0,1.33386
বরাত,84,117,0.66563,0.0,1.33281
অং,36,47,0.66183,0.0,1.33091
টুই,120,27,0.66131,0.0,1.33065
রমজান,64,191,0.65493,0.0,1.32746
মারিয়া,2383,156,0.67495,0.0101,1.32737
বিপক্ষে,104,1035,0.65452,0.0,1.32726
রেণু,38,199,0.65237,0.0,1.32619
লরেন্স,72,217,0.65232,0.0,1.32616
যুগল,446,113,0.651,0.0,1.3255
রোহিত,60,252,0.65033,0.0,1.32516
হাম,105,786,0.64867,0.0,1.32434
মানিক,113,523,0.64617,0.0,1.32308
কল্যাণ,516,176,0.64371,0.0,1.32186
সুদীপ,496,23,0.66336,0.0101,1.32158
সোহাগ,180,51,0.64226,0.0,1.32113
মোছা,43,24,0.63892,0.0,1.31946
রামু,269,21,0.63859,0.0,1.31929
তারেক,227,821,0.65826,0.0101,1.31903
রুস্তম,134,284,0.63619,0.0,1.31809
সাবেক,51,1417,0.63488,0.0,1.31744
তুফান,352,55,0.63261,0.0,1.3163
রাহুল,39,982,0.63178,0.0,1.31589
ভিনসেন্ট,71,45,0.63109,0.0,1.31554
টেড,158,20,0.62899,0.0,1.3145
মনি,168,120,0.62658,0.0,1.31329
রা,139,216,0.62615,0.0,1.31308
অশ্বিনী,82,284,0.62523,0.0,1.31261
নুহাশ,318,116,0.6237,0.0,1.31185
শীষ,34,150,0.62327,0.0,1.31164
মির্জা,102,361,0.62065,0.0,1.31032
ইমন,840,58,0.62056,0.0,1.31028
ফ্রান্স,7648,448,0.62056,0.0,1.31028
খাত,351,1506,0.62039,0.0,1.3102
গৌরাঙ্গ,111,62,0.62023,0.0,1.31012
সুফল,218,96,0.6199,0.0,1.30995
সুকুম,91,466,0.61957,0.0,1.30979
লিখন,56,123,0.61608,0.0,1.30804
টোল,59,173,0.61549,0.0,1.30774
মীর,568,577,0.61131,0.0,1.30566
বাঘা,123,68,0.60978,0.0,1.30489
ভ্রাম্যমাণ,34,72,0.6081,0.0,1.30405
সাদাত,98,43,0.60771,0.0,1.30386
টনি,65,296,0.60702,0.0,1.30351
রাধা,496,141,0.60637,0.0,1.30318
বর্মা,21,73,0.60586,0.0,1.30293
মোহন,442,367,0.60579,0.0,1.3029
পদে,245,692,0.60475,0.0,1.30237
দেলোয়,207,52,0.62417,0.0101,1.30198
ল্যাংড়া,143,25,0.60105,0.0,1.30053
গণনা,43,95,0.60076,0.0,1.30038
গ্রুপ,233,840,0.60065,0.0,1.30032
আদম,786,56,0.59942,0.0,1.29971
আজগর,103,572,0.59933,0.0,1.29967
আইস,78,249,0.59915,0.0,1.29958
টুনি,53,2236,0.59867,0.0,1.29933
চরকি,28,43,0.59825,0.0,1.29912
শ্যামলী,294,26,0.59683,0.0,1.29842
সেলিনা,89,66,0.59676,0.0,1.29838
রামকৃষ্ণ,514,24,0.59602,0.0,1.29801
স্ট্রাইক,64,156,0.59507,0.0,1.29753
শারমিন,356,101,0.59475,0.0,1.29737
জার,206,362,0.61385,0.0101,1.29682
মুসা,405,66,0.59365,0.0,1.29682
ভোগান্তি,44,156,0.61264,0.0101,1.29622
রাঘব,216,541,0.59211,0.0,1.29605
কর্নেল,3042,256,0.59154,0.0,1.29577
শচীন,503,20,0.59114,0.0,1.29557
ক্যাট,69,21,0.59062,0.0,1.29531
অনিক,429,78,0.58924,0.0,1.29462
বরা,24,63,0.58924,0.0,1.29462
পোস্টে,62,366,0.58915,0.0,1.29457
সেইন্ট,67,58,0.60884,0.0101,1.29432
কানা,459,189,0.58861,0.0,1.2943
চলতি,50,543,0.5881,0.0,1.29405
কৌশিক,143,113,0.58748,0.0,1.29374
বিলাস,184,111,0.58682,0.0,1.29341
আতর,124,393,0.58644,0.0,1.29322
নরেন্দ্র,643,80,0.58546,0.0,1.29273
কাঞ্চন,121,230,0.58412,0.0,1.29206
শুভেন্দু,57,114,0.60351,0.0101,1.29166
দাস,980,560,0.58312,0.0,1.29156
জিতু,131,24,0.58291,0.0,1.29146
ওয়ার্ড,95,319,0.5824,0.0,1.2912
ফাহমিদা,304,44,0.6026,0.0101,1.2912
আধা,213,309,0.58233,0.0,1.29116
ইন্দ্র,229,66,0.5799,0.0,1.28995
ভোগান্তির,21,23,0.57971,0.0,1.28985
মাধব,687,48,0.5797,0.0,1.28985
সানি,225,43,0.57901,0.0,1.28951
ব্রাজিল,33,823,0.59799,0.0101,1.28889
অণু,88,248,0.57757,0.0,1.28878
রুবি,111,85,0.57757,0.0,1.28878
হরমুজ,32,529,0.57682,0.0,1.28841
শশিভূষণ,967,52,0.57598,0.0,1.28799
বারে,387,119,0.57493,0.0,1.28747
পরাশর,27,89,0.5744,0.0,1.2872
পলাশ,222,575,0.57426,0.0,1.28713
শিলা,153,26,0.57421,0.0,1.2871
বাহাদুর,139,281,0.57289,0.0,1.28645
আমির,139,556,0.57265,0.0,1.28633
সপ্তর্ষি,35,37,0.57188,0.0,1.28594
সুপ,366,467,0.57109,0.0,1.28555
নিশীথ,60,325,0.57103,0.0,1.28551
যিশু,358,57,0.57015,0.0,1.28507
সেব,399,262,0.5701,0.0,1.28505
অতীশ,165,144,0.56975,0.0,1.28487
শাহিন,22,41,0.56942,0.0,1.28471
শা,73,46,0.56938,0.0,1.28469
সূত্র,596,1231,0.56906,0.0,1.28453
তুলসী,41,38,0.56849,0.0,1.28424
অতনু,386,22,0.56705,0.0,1.28352
সুফিয়া,70,67,0.56704,0.0,1.28352
কিশোরীর,89,57,0.56687,0.0,1.28344
ক্যারিয়ারে,40,71,0.5667,0.0,1.28335
ভিক্ষু,147,45,0.56653,0.0,1.28327
রবির,628,84,0.5654,0.0,1.2827
গুম,344,210,0.56507,0.0,1.28254
কাতা,25,175,0.56488,0.0,1.28244
শরীফ,82,324,0.56468,0.0,1.28234
রাহাত,91,384,0.56344,0.0,1.28172
ইয়াসমিন,223,55,0.5631,0.0,1.28155
স্পিক,53,364,0.56305,0.0,1.28152
ধ্রুব,1359,30,0.56292,0.0,1.28146
জ্যোতিষ্ক,30,258,0.56195,0.0,1.28098
ক্যারিয়ার,93,284,0.58148,0.0101,1.28064
পল্লী,92,164,0.56092,0.0,1.28046
পুনরায়,156,151,0.56088,0.0,1.28044
কিম,58,69,0.56056,0.0,1.28028
ইরান,31,3604,0.56006,0.0,1.28003
সা,55,341,0.55972,0.0,1.27986
পিট,100,78,0.55939,0.0,1.27969
ববি,98,144,0.55898,0.0,1.27949
রুখ,526,31,0.55881,0.0,1.27941
মনোরঞ্জন,311,41,0.55859,0.0,1.27929
মেরির,94,116,0.55846,0.0,1.27923
সবশেষ,153,139,0.55818,0.0,1.27909
পুশ,24,268,0.55794,0.0,1.27897
কোটা,105,66,0.55786,0.0,1.27893
অরিন্দম,576,49,0.55746,0.0,1.27873
বিনোদ,87,216,0.55714,0.0,1.27857
হেনরি,125,216,0.55712,0.0,1.27856
নিত্য,401,59,0.55703,0.0,1.27852
