word,count_a,count_b,delta_cos,neighbor_jaccard,change_score
বাবর,1265,58,0.82081,0.0,1.4104
কান্ত,1016,46,0.7453,0.0,1.37265
চন্দ্রনাথ,330,74,0.7439,0.0,1.37195
শান্তনুর,42,49,0.70091,0.0,1.35045
শৈল,97,73,0.6982,0.0,1.3491
কিকি,75,3692,0.69666,0.0,1.34833
নাদির,20,544,0.71387,0.0101,1.34683
মিনহাজ,33,49,0.68855,0.0,1.34427
ঝর্ণা,29,278,0.66967,0.0,1.33484
তথাগত,99,257,0.66698,0.0,1.33349
কাজি,30,182,0.66695,0.0,1.33348
বিজলী,20,603,0.66346,0.0,1.33173
রঘুনন্দন,31,129,0.66143,0.0,1.33072
যিশু,47,358,0.6587,0.0,1.32935
গুগ,174,25,0.6567,0.0,1.32835
কৈলাস,108,131,0.65616,0.0,1.32808
কাউন্ট,87,201,0.65565,0.0,1.32782
টেডি,110,45,0.65527,0.0,1.32763
সিরাজ,305,238,0.65269,0.0,1.32635
তাহ,62,1750,0.6728,0.0101,1.3263
সিদ্ধার্থ,27,139,0.65088,0.0,1.32544
যতি,73,36,0.64665,0.0,1.32332
ঝা,49,308,0.6395,0.0,1.31975
জাহেদ,188,27,0.63726,0.0,1.31863
বেবি,122,122,0.63712,0.0,1.31856
তাতা,182,138,0.63665,0.0,1.31833
রঘুনাথ,102,1296,0.63475,0.0,1.31738
গৌর,1790,793,0.63205,0.0,1.31603
ধীমান,30,30,0.63198,0.0,1.31599
হারুন,273,551,0.63061,0.0,1.3153
আদম,136,786,0.62895,0.0,1.31448
অর্জুন,513,6508,0.64414,0.0101,1.31197
বিনয়,852,3378,0.64272,0.0101,1.31126
নূর,300,54,0.6221,0.0,1.31105
বাক,132,545,0.61925,0.0,1.30962
সরোজিনী,240,41,0.63865,0.0101,1.30922
খোজা,68,72,0.61665,0.0,1.30833
অৰ্জুন,69,107,0.61315,0.0,1.30657
মোক,82,68,0.60996,0.0,1.30498
ইউনুস,157,34,0.60946,0.0,1.30473
রঘুবীর,30,246,0.60657,0.0,1.30328
গোপীনাথ,657,48,0.60592,0.0,1.30296
নিমা,83,904,0.6001,0.0,1.30005
অরিন্দম,36,576,0.59869,0.0,1.29934
আদিত্য,65,1147,0.59537,0.0,1.29769
মতি,106,790,0.59529,0.0,1.29765
হুমায়ুন,140,68,0.59489,0.0,1.29744
শওকত,76,571,0.59477,0.0,1.29738
মাধব,106,687,0.6141,0.0101,1.29695
রাজু,68,686,0.59361,0.0,1.29681
মেরী,191,164,0.59179,0.0,1.29589
নিরঞ্জন,70,288,0.59114,0.0,1.29557
হাসান,186,3208,0.59062,0.0,1.29531
সুকান্ত,27,237,0.58987,0.0,1.29493
তাজ,160,83,0.58767,0.0,1.29383
প্রীতম,1206,25,0.58734,0.0,1.29367
ইন্দ্রাণী,68,1074,0.58677,0.0,1.29338
বিদুর,293,90,0.58634,0.0,1.29317
কায়,80,20,0.58522,0.0,1.29261
ভৈর,65,115,0.58356,0.0,1.29178
প্রিয়নাথ,164,657,0.5835,0.0,1.29175
মনি,1400,168,0.58226,0.0,1.29113
গোগোল,102,20,0.58046,0.0,1.29023
লুৎফ,52,96,0.57652,0.0,1.28826
বারীন,178,263,0.57571,0.0,1.28785
সোম,1130,925,0.57422,0.0,1.28711
আবু,61,329,0.57229,0.0,1.28615
লিলি,96,202,0.59116,0.0101,1.28548
বনি,232,361,0.57078,0.0,1.28539
সাত্যকি,44,48,0.56841,0.0,1.28421
আত,21,390,0.56823,0.0,1.28411
রাকেশ,300,130,0.56659,0.0,1.28329
সুলতান,358,486,0.5661,0.0,1.28305
মরিয়ম,921,129,0.56447,0.0,1.28223
রামকৃষ্ণ,77,514,0.56369,0.0,1.28184
অতনু,69,386,0.56346,0.0,1.28173
অনির্বাণ,74,167,0.56044,0.0,1.28022
গদাধর,120,194,0.55982,0.0,1.27991
জাহেদা,566,30,0.57816,0.0101,1.27898
রুবি,120,111,0.55732,0.0,1.27866
অতুল,77,210,0.55533,0.0,1.27767
রাকেশের,116,44,0.55423,0.0,1.27711
সুধাময়,179,57,0.55394,0.0,1.27697
রহমান,893,1229,0.57412,0.0101,1.27696
জো,266,321,0.55173,0.0,1.27587
সুনন্দা,154,61,0.55095,0.0,1.27547
নবী,88,40,0.5502,0.0,1.2751
লু,363,45,0.54941,0.0,1.2747
রাজকুমার,39,162,0.54909,0.0,1.27455
বাদশা,237,283,0.54851,0.0,1.27425
মির্জা,481,102,0.54758,0.0,1.27379
লিলিয়ান,22,60,0.54574,0.0,1.27287
কিশোর,308,1344,0.54503,0.0,1.27252
বাদশ,106,42,0.54487,0.0,1.27244
গফুর,248,34,0.56488,0.0101,1.27234
সোমা,35,450,0.54374,0.0,1.27187
সহদেব,39,76,0.56382,0.0101,1.27181
নানি,20,314,0.54327,0.0,1.27163
মারিয়া,230,2383,0.54073,0.0,1.27037
লা,326,95,0.54035,0.0,1.27017
টনি,118,65,0.53904,0.0,1.26952
অমরনাথ,31,1107,0.53835,0.0,1.26918
রুখ,33,526,0.53795,0.0,1.26897
ঘনাদা,1467,68,0.55786,0.0101,1.26883
কল্যাণ,1111,516,0.55771,0.0101,1.26876
ইব,23,65,0.53659,0.0,1.26829
সেলিম,137,310,0.53601,0.0,1.26801
পরাশর,307,27,0.53586,0.0,1.26793
সোমনাথ,1227,80,0.55522,0.0101,1.26751
অজয়,110,148,0.5348,0.0,1.2674
লাটু,23,278,0.53432,0.0,1.26716
শ্যামলী,37,294,0.53262,0.0,1.26631
স্বরাজ,184,39,0.53193,0.0,1.26596
উদ্দিন,37,690,0.53115,0.0,1.26558
রমিজ,70,75,0.53096,0.0,1.26548
লুৎফা,42,375,0.52862,0.0,1.26431
বড়মামা,109,704,0.52779,0.0,1.26389
পীর,120,339,0.54787,0.0101,1.26383
দবির,44,141,0.52728,0.0,1.26364
উপ,47,130,0.52473,0.0,1.26237
রাজকুম,124,299,0.52399,0.0,1.262
হরিশঙ্কর,679,70,0.52387,0.0,1.26193
বন্দনা,224,44,0.52311,0.0,1.26155
ধ্রুব,409,1359,0.54313,0.0101,1.26146
রবি,280,1684,0.52178,0.0,1.26089
ফিরিঙ্গি,466,38,0.52177,0.0,1.26088
আলবার্,20,49,0.52142,0.0,1.26071
নেহা,59,115,0.52085,0.0,1.26042
শুভ,267,956,0.52035,0.0,1.26017
শ্রী,64,338,0.54018,0.0101,1.25999
গজপতি,141,70,0.51942,0.0,1.25971
মনোরঞ্জন,90,311,0.51925,0.0,1.25962
মহসিন,98,189,0.53912,0.0101,1.25946
ঘনশ্যাম,109,77,0.51838,0.0,1.25919
পার্থ,412,439,0.5378,0.0101,1.2588
জিনা,93,161,0.51692,0.0,1.25846
বাহাত্তর,200,79,0.51676,0.0,1.25838
কুন্তী,95,111,0.51673,0.0,1.25837
সুফিয়া,186,70,0.51603,0.0,1.25801
মোসলমান,21,94,0.51594,0.0,1.25797
রেশমি,22,333,0.51575,0.0,1.25788
সুফল,43,218,0.5154,0.0,1.2577
জগা,122,544,0.53516,0.0101,1.25748
টেড,47,158,0.51477,0.0,1.25739
রামচন্দ্র,70,177,0.51415,0.0,1.25707
অতীশ,43,165,0.5141,0.0,1.25705
রূপা,75,840,0.51358,0.0,1.25679
স্টিমারঘাট,59,42,0.51274,0.0,1.25637
নিতু,24,463,0.51247,0.0,1.25624
পুলক,107,144,0.51239,0.0,1.2562
তাগা,28,65,0.51028,0.0,1.25514
জিতু,42,131,0.50989,0.0,1.25495
জিয়া,21,255,0.50967,0.0,1.25484
মনু,125,352,0.50968,0.0,1.25484
নিশ,22,75,0.50957,0.0,1.25479
হরিবাবু,116,264,0.50899,0.0,1.25449
মজিদ,157,299,0.50894,0.0,1.25447
কুন,59,210,0.50826,0.0,1.25413
লামা,54,167,0.50805,0.0,1.25402
প্রহ্লাদ,105,46,0.50771,0.0,1.25386
বুলবুল,241,108,0.52782,0.0101,1.25381
লম্বোদর,34,24,0.50686,0.0,1.25343
মোহিনী,83,205,0.50579,0.0,1.25289
মোহন,148,442,0.50546,0.0,1.25273
কেত,149,50,0.50521,0.0,1.25261
রিগা,53,135,0.52533,0.0101,1.25256
রবার্ট,224,117,0.505,0.0,1.2525
ফিস,233,364,0.54543,0.02041,1.25231
শ্ৰী,31,144,0.50368,0.0,1.25184
মনুর,52,60,0.50363,0.0,1.25182
কমরেড,207,119,0.5033,0.0,1.25165
হাসিনা,107,39,0.50299,0.0,1.25149
বিনু,3071,167,0.50239,0.0,1.2512
কৌশিক,46,143,0.50216,0.0,1.25108
হরনাথ,98,113,0.50119,0.0,1.2506
প্রসাদ,254,486,0.501,0.0,1.2505
মধু,508,422,0.4988,0.0,1.2494
শিশির,872,422,0.56054,0.03093,1.24934
শ্রাবণী,205,171,0.51851,0.0101,1.24916
কামাল,256,354,0.4978,0.0,1.2489
বাসন্তী,108,265,0.49755,0.0,1.24878
